,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
,2012-2025,158,288,24,13543,262,51.29,23556,57.49,39,66,13,1451,45

Vs Australia,2013-2023,34,65,5,2428,180,40.46,4825,50.32,4,18,5,270,12
Vs Bangladesh,2016-2016,2,4,0,98,56,24.50,177,55.36,0,1,0,9,0
Vs India,2012-2025,35,64,7,3383,218,59.35,6115,55.32,13,12,1,360,8
Vs Ireland,2019-2023,2,3,0,89,56,29.66,130,68.46,0,1,0,7,1
Vs New Zealand,2013-2024,21,40,4,1925,226,53.47,3329,57.82,6,9,4,213,11
Vs Pakistan,2015-2024,18,31,3,1487,262,53.10,2410,61.70,2,7,1,147,0
Vs South Africa,2015-2022,15,27,1,1210,190,46.53,1923,62.92,2,9,0,155,4
Vs Sri Lanka,2014-2024,13,24,2,1376,228,62.54,2145,64.14,6,2,1,125,3
Vs West Indies,2015-2024,17,29,2,1513,182*,56.03,2458,61.55,6,7,1,162,6
Vs Zimbabwe,2025-2025,1,1,0,34,34,34.00,44,77.27,0,0,0,3,0

In Australia,2013-2022,14,27,2,892,89,35.68,2015,44.26,0,9,2,91,0
In Bangladesh,2016-2016,2,4,0,98,56,24.50,177,55.36,0,1,0,9,0
In England,2013-2025,84,147,15,7329,254,55.52,12302,59.57,24,33,6,842,20
In India,2012-2024,15,30,2,1272,218,45.42,2511,50.65,3,6,0,124,5
In New Zealand,2013-2024,12,22,2,1006,226,50.30,1813,55.48,3,5,3,101,9
In Pakistan,2022-2024,6,10,0,477,262,47.70,668,71.40,1,1,1,32,0
In South Africa,2015-2020,8,15,1,703,110,50.21,1156,60.81,1,6,0,88,3
In Sri Lanka,2018-2021,5,10,0,655,228,65.50,971,67.45,3,0,0,58,3
In U.A.E.,2015-2015,3,6,1,287,88,57.40,527,54.45,0,3,0,26,0
In West Indies,2015-2022,9,17,1,824,182*,51.50,1416,58.19,4,2,1,80,5

In Africa,2015-2020,8,15,1,703,110,50.21,1156,60.81,1,6,0,88,3
In Americas,2015-2022,9,17,1,824,182*,51.50,1416,58.19,4,2,1,80,5
In Asia,2012-2024,31,60,3,2789,262,48.92,4854,57.45,7,11,1,249,8
In Europe,2013-2025,84,147,15,7329,254,55.52,12302,59.57,24,33,6,842,20
In Oceania,2013-2024,26,49,4,1898,226,42.17,3828,49.58,3,14,5,192,9

Home,2013-2025,84,147,15,7329,254,55.52,12302,59.57,24,33,6,842,20
Away,2012-2024,71,135,8,5927,262,46.66,10727,55.25,15,30,7,583,25
Neutral,2015-2015,3,6,1,287,88,57.40,527,54.45,0,3,0,26,0

Year, 2012,1,2,1,93,73,93.00,285,32.63,0,1,0,5,1
Year, 2013,14,27,2,862,180,34.48,2121,40.64,2,3,1,94,2
Year, 2014,7,11,3,777,200*,97.12,1339,58.02,3,3,0,80,1
Year, 2015,14,26,3,1385,182*,60.21,2174,63.70,3,10,1,158,10
Year, 2016,17,32,2,1477,254,49.23,2433,60.70,3,10,1,170,1
Year, 2017,11,19,0,966,190,50.84,1563,61.80,2,8,0,138,1
Year, 2018,13,24,1,948,125,41.21,1782,53.19,2,6,2,92,3
Year, 2019,12,23,0,851,226,37.00,1837,46.32,2,4,3,92,1
Year, 2020,8,13,2,464,68*,42.18,822,56.44,0,4,0,49,2
Year, 2021,15,29,1,1708,228,61.00,3004,56.85,6,4,1,179,3
Year, 2022,15,27,3,1098,176,45.75,1722,63.76,5,2,3,122,3
Year, 2023,8,14,2,787,153*,65.58,1031,76.33,2,5,0,68,15
Year, 2024,17,31,3,1556,262,55.57,2455,63.38,6,5,1,147,2
Year, 2025,6,10,1,571,150,63.44,988,57.79,3,1,0,57,0

Season 2012/13,4,7,1,181,73,30.16,573,31.58,0,1,1,13,1
Season 2013,7,14,1,582,180,44.76,1256,46.33,2,2,0,67,2
Season 2013/14,4,8,1,192,87,27.42,577,33.27,0,1,0,19,0
Season 2014,7,11,3,777,200*,97.12,1339,58.02,3,3,0,80,1
Season 2015,10,18,2,1001,182*,62.56,1482,67.54,3,6,1,125,8
Season 2015/16,7,14,2,673,110,56.08,1136,59.24,1,6,0,74,2
Season 2016,7,12,1,599,254,54.45,911,65.75,1,3,1,69,0
Season 2016/17,7,14,0,589,124,42.07,1078,54.63,1,5,0,60,1
Season 2017,7,12,0,729,190,60.75,1100,66.27,2,5,0,108,1
Season 2017/18,7,13,1,520,83,43.33,1099,47.31,0,7,1,53,0
Season 2018,7,12,0,436,125,36.33,824,52.91,1,2,1,48,1
Season 2018/19,6,12,0,406,124,33.83,684,59.35,2,0,0,39,2
Season 2019,6,12,0,358,77,29.83,811,44.14,0,4,3,37,0
Season 2019/20,6,10,0,556,226,55.60,1061,52.40,1,3,0,64,2
Season 2020,5,8,2,224,68*,37.33,425,52.70,0,1,0,22,1
Season 2020/21,6,12,0,794,228,66.16,1325,59.92,3,0,0,72,3
Season 2021,6,11,1,661,180*,66.10,1181,55.96,3,1,0,81,0
Season 2021/22,8,16,0,611,153,38.18,1232,49.59,2,3,3,57,0
Season 2022,7,12,3,615,176,68.33,841,73.12,3,1,0,80,3
Season 2022/23,5,9,1,444,153*,55.50,568,78.16,1,3,1,36,7
Season 2023,6,10,1,468,118*,52.00,610,76.72,1,3,0,43,8
Season 2023/24,5,10,1,320,122*,35.55,649,49.30,1,1,0,33,1
Season 2024,6,10,1,666,143,74.00,1023,65.10,3,3,0,63,0
Season 2024/25,6,11,1,570,262,57.00,783,72.79,2,1,1,51,1
Season 2025,6,10,1,571,150,63.44,988,57.79,3,1,0,57,0

*AN Cook,2012-2016,53,98,11,4594,254,52.80,8352,55.00,11,27,3,507,15
*OJ Pope,2024-2025,5,9,1,771,262,96.37,1150,67.04,4,1,0,72,0
*JE Root,2017-2022,64,118,4,5295,228,46.44,9742,54.35,14,26,8,581,10
*BA Stokes,2022-2025,36,63,8,2883,176,52.41,4312,66.85,10,12,2,291,20

Is Captain,2017-2022,64,118,4,5295,228,46.44,9742,54.35,14,26,8,581,10
Is Not Captain,2012-2025,94,170,20,8248,262,54.98,13814,59.70,25,40,5,870,35

Is Not Keeper,2012-2025,158,288,24,13543,262,51.29,23556,57.49,39,66,13,1451,45

Won The Toss,2012-2025,87,160,11,7925,254,53.18,13582,58.34,25,34,5,878,28
Lost The Toss,2013-2025,71,128,13,5618,262,48.85,9974,56.32,14,32,8,573,17

Won Toss & Batted,2012-2025,56,108,5,5277,254,51.23,9077,58.13,16,26,2,571,16
Won Toss & Fielded,2013-2025,31,52,6,2648,226,57.56,4505,58.77,9,8,3,307,12
Lost Toss & Sent In,2013-2025,28,53,3,2331,200*,46.62,3798,61.37,7,14,5,226,12
Lost Toss & Fielded,2013-2024,43,75,10,3287,262,50.56,6176,53.22,7,18,3,347,5

Matches Batting First,2012-2025,84,161,8,7608,254,49.72,12875,59.09,23,40,7,797,28
Matches Fielding First,2013-2025,74,127,16,5935,262,53.46,10681,55.56,16,26,6,654,17

1st Team Innings,2012-2025,158,158,9,8194,262,54.99,14068,58.24,27,31,9,880,24
2nd Team Innings,2012-2025,137,130,15,5349,180,46.51,9488,56.37,12,35,4,571,21

1st Match Innings,2012-2025,84,84,4,4023,254,50.28,6994,57.52,14,14,5,426,12
2nd Match Innings,2013-2025,74,74,5,4171,262,60.44,7074,58.96,13,17,4,454,12
3rd Match Innings,2012-2025,77,77,4,3501,180,47.95,5798,60.38,9,25,2,364,13
4th Match Innings,2013-2025,60,53,11,1848,142*,44.00,3690,50.08,3,10,2,207,8

Day Match,2012-2025,151,275,24,13042,262,51.96,22671,57.52,38,62,12,1393,44
Day/Night Match,2017-2023,7,13,0,501,136,38.53,885,56.61,1,4,1,58,1

Won Match,2013-2025,72,124,12,7224,262,64.50,11255,64.18,26,29,5,776,28
Lost Match,2013-2025,60,120,6,3968,180*,34.80,7796,50.89,5,27,5,440,12
Drawn Match,2012-2025,26,44,6,2351,226,61.86,4505,52.18,8,10,3,235,5

Won Batting First,2013-2025,43,81,2,4404,254,55.74,7033,62.61,15,20,2,472,14
Won Fielding First,2014-2025,29,43,10,2820,262,85.45,4222,66.79,11,9,3,304,14
Lost Batting First,2013-2024,27,54,4,1935,153*,38.70,3602,53.72,3,14,3,198,11
Lost Fielding First,2013-2025,33,66,2,2033,180*,31.76,4194,48.47,2,13,2,242,1
Drawn Batting First,2012-2022,14,26,2,1269,200*,52.87,2240,56.65,5,6,2,127,3
Drawn Fielding First,2013-2025,12,18,4,1082,226,77.28,2265,47.77,3,4,1,108,2

2 Team Series,2012-2025,158,288,24,13543,262,51.29,23556,57.49,39,66,13,1451,45
5+ Team Tournaments,2019-2025,69,126,11,6080,262,52.86,10136,59.98,21,22,8,625,17

Only Match In Series,2019-2025,3,4,0,123,56,30.75,174,70.68,0,1,0,10,1
1st Match In Series,2013-2025,44,83,9,4408,262,59.56,7312,60.28,13,20,5,466,15
2nd Match In Series,2013-2025,45,82,5,4319,254,56.09,7351,58.75,15,17,2,453,17
3rd Match In Series,2013-2025,35,63,5,1951,122,33.63,3672,53.13,4,11,3,218,4
4th Match In Series,2012-2025,19,33,2,1501,150,48.41,2963,50.65,3,10,2,162,4
5th Match In Series,2013-2025,12,23,3,1241,149*,62.05,2084,59.54,4,7,1,142,4

Basil D'Oliveira,2015-2022,15,27,1,1210,190,46.53,1923,62.92,2,9,0,155,4
Botham-Richards Trop,2022-2024,6,10,0,580,153,58.00,1010,57.42,3,2,1,50,0
ICC World Test Champ,2019-2025,69,126,11,6080,262,52.86,10136,59.98,21,22,8,625,17
The Ashes,2013-2023,34,65,5,2428,180,40.46,4825,50.32,4,18,5,270,12
The Wisden Trophy,2015-2020,11,19,2,933,182*,54.88,1448,64.43,3,5,0,112,6

2nd Position,2013-2016,6,11,1,417,180,41.70,1012,41.20,1,2,0,48,2
3rd Position,2013-2024,34,60,3,2484,262,43.57,4637,53.56,5,14,5,251,2
4th Position,2013-2025,101,173,14,8316,228,52.30,13841,60.08,27,37,6,912,29
5th Position,2013-2024,24,35,4,2085,200*,67.25,3415,61.05,6,11,1,220,11
6th Position,2012-2014,6,8,2,241,77,40.16,649,37.13,0,2,0,20,1
7th Position,2013-2013,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0