Unnamed: 0,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s
Year,2012,1,2,1,93,73,93,285,32.63,0,1,0,5,1
Year,2013,14,27,2,862,180,34.48,2121,40.64,2,3,1,94,2
Year,2014,7,11,3,777,200*,97.12,1339,58.02,3,3,0,80,1
Year,2015,14,26,3,1385,182*,60.21,2174,63.7,3,10,1,158,10
Year,2016,17,32,2,1477,254,49.23,2433,60.7,3,10,1,170,1
Year,2017,11,19,0,966,190,50.84,1563,61.8,2,8,0,138,1
Year,2018,13,24,1,948,125,41.21,1782,53.19,2,6,2,92,3
Year,2019,12,23,0,851,226,37,1837,46.32,2,4,3,92,1
Year,2020,8,13,2,464,68*,42.18,822,56.44,0,4,0,49,2
Year,2021,15,29,1,1708,228,61,3004,56.85,6,4,1,179,3
Year,2022,15,27,3,1098,176,45.75,1722,63.76,5,2,3,122,3
Year,2023,8,14,2,787,153*,65.58,1031,76.33,2,5,0,68,15
Year,2024,17,31,3,1556,262,55.57,2455,63.38,6,5,1,147,2
Year,2025,6,10,1,571,150,63.44,988,57.79,3,1,0,57,0
,,158,288,24,13543,1864,796.61,23556,791.55,39,66,13,1451,45