,Span,Mat,Inns,NO,Runs,HS,Avg,100s,50s,0s
year,1989,4,6,0,215,59,35.83,0,2,0
year,1990,7,10,1,373,119*,41.44,1,2,1
year,1991,2,4,0,78,40,19.5,0,0,0
year,1992,7,11,1,419,148*,41.9,3,0,2
year,1993,8,9,2,640,165,91.42,2,5,0
year,1994,7,11,1,700,179,70,2,3,0
year,1995,3,4,2,58,52*,29,0,1,0
year,1996,8,15,0,623,177,41.53,2,2,1
year,1997,12,17,1,1000,169,62.5,4,3,0
year,1998,5,9,1,647,177,80.87,3,1,0
year,1999,10,19,3,1088,217,68,5,4,3
year,2000,6,10,1,575,201*,63.88,2,1,0
year,2001,10,18,2,1003,155,62.68,3,6,0
year,2002,16,26,1,1392,193,55.68,4,5,3
year,2003,5,9,0,153,55,17,0,1,2
year,2004,10,15,5,915,248*,91.5,3,2,0
year,2005,6,10,0,444,109,44.4,1,3,0
year,2006,8,12,1,267,63,24.27,0,1,1
year,2007,9,16,2,776,122*,55.42,2,6,0
year,2008,13,25,3,1063,154*,48.31,4,3,1
year,2009,6,9,1,541,160,67.62,2,3,0
year,2010,14,23,3,1562,214,78.1,7,5,0
year,2011,9,17,1,756,146,47.25,1,5,0
year,2012,9,15,0,357,80,23.8,0,2,0
year,2013,6,9,1,276,81,34.5,0,2,0